id,source,target,score,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,level,mean_ligand_score
IFNG@Condition:A549&Duration:6h@GSE5542.MicroArray.GPL96,IFNG,IFNG,3.026699679565843,GSE5542,MicroArray,GPL96,NA,A549,IFNG,NA,activating,6h,1,IFNG,3,3.020145981953027
IFNG@Condition:AALEB@GSE77154.MicroArray.HG-U133_Plus_2,IFNG,IFNG,2.3432163055597917,GSE77154,MicroArray,HG-U133_Plus_2,NA,AALEB,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:AML.PLB-985@E-MTAB-5690.MicroArray.HuGene-2_0-st,IFNG,IFNG,2.87963351114361,E-MTAB-5690,MicroArray,HuGene-2_0-st,NA,AML.PLB-985,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:B cell@GSE111475.MicroArray.GPL10558,IFNG,IFNG,3.494548720753264,GSE111475,MicroArray,GPL10558,NA,B cell,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:Calu-3&Duration:21h@GSE33264.MicroArray.GPL4133,IFNG,IFNG,3.4002020676802784,GSE33264,MicroArray,GPL4133,NA,Calu-3,IFNG,NA,activating,21h,1,IFNG,3,3.020145981953027
IFNG@Condition:Calu-3&Duration:3h@GSE33264.MicroArray.GPL4133,IFNG,IFNG,3.9168420861393187,GSE33264,MicroArray,GPL4133,NA,Calu-3,IFNG,NA,activating,3h,1,IFNG,3,3.020145981953027
IFNG@Condition:Calu-3&Duration:6h@GSE33264.MicroArray.GPL4133,IFNG,IFNG,3.8110837190614495,GSE33264,MicroArray,GPL4133,NA,Calu-3,IFNG,NA,activating,6h,1,IFNG,3,3.020145981953027
IFNG@Condition:Endothelial@GSE3920.MicroArray.GPL96,IFNG,IFNG,3.1324620159734096,GSE3920,MicroArray,GPL96,NA,Endothelial,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:Fibroblast@GSE3920.MicroArray.GPL96,IFNG,IFNG,0.6223125357359579,GSE3920,MicroArray,GPL96,NA,Fibroblast,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:Fibrosarcoma.HT1080@GSE128392.RNASeq.SRP188564_GRCh38,IFNG,IFNG,NA,GSE128392,RNASeq,SRP188564_GRCh38,NA,Fibrosarcoma.HT1080,IFNG,NA,activating,NA,1,IFNG,NA,3.020145981953027
IFNG@Condition:HCT116 colorectal cancer cell&Duration:4h@GSE122985.MicroArray.GPL10558,IFNG,IFNG,-2.0614244044384424,GSE122985,MicroArray,GPL10558,NA,HCT116 colorectal cancer cell,IFNG,NA,activating,4h,1,IFNG,3,3.020145981953027
IFNG@Condition:HEK293 delta-RAF1:ER cells&Duration:1h@GSE97979.RNASeq.SRP104287_GRCh38,IFNG,IFNG,NA,GSE97979,RNASeq,SRP104287_GRCh38,NA,HEK293 delta-RAF1:ER cells,IFNG,NA,activating,1h,1,IFNG,NA,3.020145981953027
IFNG@Condition:HEK293 delta-RAF1:ER cells&Duration:4h@GSE97979.RNASeq.SRP104287_GRCh38,IFNG,IFNG,NA,GSE97979,RNASeq,SRP104287_GRCh38,NA,HEK293 delta-RAF1:ER cells,IFNG,NA,activating,4h,1,IFNG,NA,3.020145981953027
IFNG@Condition:Hep3B@E-MTAB-4570.MicroArray.HTA-2_0,IFNG,IFNG,3.708079501490554,E-MTAB-4570,MicroArray,HTA-2_0,NA,Hep3B,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:HepG2@E-MTAB-4570.MicroArray.HTA-2_0,IFNG,IFNG,2.1177391513159303,E-MTAB-4570,MicroArray,HTA-2_0,NA,HepG2,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:HK-2&Duration:90m@GSE68942.MicroArray.GPL10558,IFNG,IFNG,3.3668570307512367,GSE68942,MicroArray,GPL10558,NA,HK-2,IFNG,NA,activating,90m,1,IFNG,3,3.020145981953027
IFNG@Condition:HMEC1@GSE19082.MicroArray.GPL6104,IFNG,IFNG,3.6374745858876767,GSE19082,MicroArray,GPL6104,NA,HMEC1,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:HNEC@GSE19182.MicroArray.HuGene-1_0-st-v1,IFNG,IFNG,3.136847326771691,GSE19182,MicroArray,HuGene-1_0-st-v1,NA,HNEC,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:HuH-7@E-MTAB-4570.MicroArray.HTA-2_0,IFNG,IFNG,3.7811971429911417,E-MTAB-4570,MicroArray,HTA-2_0,NA,HuH-7,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:human epidermal keratinocytes&Duration:24h@GSE53751.MicroArray.HG-U133_Plus_2,IFNG,IFNG,2.884123595862724,GSE53751,MicroArray,HG-U133_Plus_2,NA,human epidermal keratinocytes,IFNG,NA,activating,24h,1,IFNG,3,3.020145981953027
IFNG@Condition:human primary macrophages@GSE66809.RNASeq.SRP056098_GRCh38,IFNG,IFNG,NA,GSE66809,RNASeq,SRP056098_GRCh38,NA,human primary macrophages,IFNG,NA,activating,NA,1,IFNG,NA,3.020145981953027
IFNG@Condition:HUVEC@GSE6092.MicroArray.HG-U133_Plus_2,IFNG,IFNG,3.1241881258631716,GSE6092,MicroArray,HG-U133_Plus_2,NA,HUVEC,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:Lung adenocarcinoma@GSE109720.RNASeq.SRP131516_GRCh38,IFNG,IFNG,1.4967387819894966,GSE109720,RNASeq,SRP131516_GRCh38,NA,Lung adenocarcinoma,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:Macrophage@E-MTAB-3255.MicroArray.MDM_Transformed_data_matrix,IFNG,IFNG,3.669198472351384,E-MTAB-3255,MicroArray,MDM_Transformed_data_matrix,NA,Macrophage,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:Macrophage@GSE30273.MicroArray.GPL6848,IFNG,IFNG,4.271304871394494,GSE30273,MicroArray,GPL6848,NA,Macrophage,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:Macrophage@GSE49240.MicroArray.GPL10558,IFNG,IFNG,2.7026607722496148,GSE49240,MicroArray,GPL10558,NA,Macrophage,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:Macrophage@GSE98368.RNASeq.SRP105796_GRCh38,IFNG,IFNG,2.8340571642709875,GSE98368,RNASeq,SRP105796_GRCh38,NA,Macrophage,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:Macrophage&Duration:18h@GSE36537.MicroArray.GPL6480,IFNG,IFNG,NA,GSE36537,MicroArray,GPL6480,NA,Macrophage,IFNG,NA,activating,18h,1,IFNG,NA,3.020145981953027
IFNG@Condition:Macrophage&Duration:24 h@GSE85346.MicroArray.GPL13497,IFNG,IFNG,2.8524306113902616,GSE85346,MicroArray,GPL13497,NA,Macrophage,IFNG,NA,activating,24 h,1,IFNG,3,3.020145981953027
IFNG@Condition:Macrophage&Duration:7d@GSE49706.MicroArray.GPL10558,IFNG,IFNG,4.1675861065803605,GSE49706,MicroArray,GPL10558,NA,Macrophage,IFNG,NA,activating,7d,1,IFNG,3,3.020145981953027
IFNG@Condition:Monocyte&Duration:18h@GSE36537.MicroArray.GPL6480,IFNG,IFNG,NA,GSE36537,MicroArray,GPL6480,NA,Monocyte,IFNG,NA,activating,18h,1,IFNG,NA,3.020145981953027
IFNG@Condition:Monocyte&Duration:6h@GSE36537.MicroArray.GPL6480,IFNG,IFNG,NA,GSE36537,MicroArray,GPL6480,NA,Monocyte,IFNG,NA,activating,6h,1,IFNG,NA,3.020145981953027
IFNG@Condition:monocytes@GSE120944.RNASeq.SRP164578_GRCh38,IFNG,IFNG,1.167818572079395,GSE120944,RNASeq,SRP164578_GRCh38,NA,monocytes,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:Monocytes@GSE83957.MicroArray.GPL10558,IFNG,IFNG,3.46268783514406,GSE83957,MicroArray,GPL10558,NA,Monocytes,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IFNG,IFNG,3.1946542002046527,GSE7216,MicroArray,HG-U133_Plus_2,NA,NHEK,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IFNG@Condition:Primary human fibroblasts&Duration:24h@GSE106523.MicroArray.GPL13497,IFNG,IFNG,3.591543947274192,GSE106523,MicroArray,GPL13497,NA,Primary human fibroblasts,IFNG,NA,activating,24h,1,IFNG,3,3.020145981953027
IFNG@Condition:Primary human fibroblasts&Duration:3h@GSE106523.MicroArray.GPL13497,IFNG,IFNG,3.753938509158309,GSE106523,MicroArray,GPL13497,NA,Primary human fibroblasts,IFNG,NA,activating,3h,1,IFNG,3,3.020145981953027
IFNG@Condition:Primary human fibroblasts&Duration:6h@GSE106523.MicroArray.GPL13497,IFNG,IFNG,3.5308917122280774,GSE106523,MicroArray,GPL13497,NA,Primary human fibroblasts,IFNG,NA,activating,6h,1,IFNG,3,3.020145981953027
IFNG@Condition:Primary human lung microvascular endothelial cells&Duration:24h@GSE106524.MicroArray.GPL13497,IFNG,IFNG,3.659735849210786,GSE106524,MicroArray,GPL13497,NA,Primary human lung microvascular endothelial cells,IFNG,NA,activating,24h,1,IFNG,3,3.020145981953027
IFNG@Condition:Primary human lung microvascular endothelial cells&Duration:3h@GSE106524.MicroArray.GPL13497,IFNG,IFNG,3.6445857566285884,GSE106524,MicroArray,GPL13497,NA,Primary human lung microvascular endothelial cells,IFNG,NA,activating,3h,1,IFNG,3,3.020145981953027
IFNG@Condition:Primary human lung microvascular endothelial cells&Duration:6h@GSE106524.MicroArray.GPL13497,IFNG,IFNG,3.616971654319542,GSE106524,MicroArray,GPL13497,NA,Primary human lung microvascular endothelial cells,IFNG,NA,activating,6h,1,IFNG,3,3.020145981953027
IFNG@Condition:Retinal pigment epithelial (RPE) cells&Duration:48h@GSE36331.MicroArray.GPL6244,IFNG,IFNG,2.6603025121911728,GSE36331,MicroArray,GPL6244,NA,Retinal pigment epithelial (RPE) cells,IFNG,NA,activating,48h,1,IFNG,3,3.020145981953027
IFNG@Condition:Squamous cell carcinoma@GSE109720.RNASeq.SRP131516_GRCh38,IFNG,IFNG,4.066723319903081,GSE109720,RNASeq,SRP131516_GRCh38,NA,Squamous cell carcinoma,IFNG,NA,activating,NA,1,IFNG,3,3.020145981953027
IL20@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IL20,IL20,2.850115167541838,GSE7216,MicroArray,HG-U133_Plus_2,NA,NHEK,IL20,NA,activating,NA,1,IL20,3,2.850115167541838
IL15@Condition:NK cells-peripheral blood@GSE22886.MicroArray.HG-U133A,IL15,IL15,2.1286673761775616,GSE22886,MicroArray,HG-U133A,NA,NK cells-peripheral blood,IL15,NA,activating,NA,1,IL15,3,2.7314564009768656
IL15@Condition:Sez-4@GSE8685.MicroArray.HG-U133_Plus_2,IL15,IL15,3.334245425776169,GSE8685,MicroArray,HG-U133_Plus_2,NA,Sez-4,IL15,NA,activating,NA,1,IL15,3,2.7314564009768656
BMP4@Condition:CCL-171&Duration:12h@GSE66109.MicroArray.GPL19807,BMP4,BMP4,2.010263800287232,GSE66109,MicroArray,GPL19807,NA,CCL-171,BMP4,NA,activating,12h,1,BMP4,2,2.661215665701676
BMP4@Condition:CCL-171&Duration:24h@GSE66109.MicroArray.GPL19807,BMP4,BMP4,-0.7991706639180861,GSE66109,MicroArray,GPL19807,NA,CCL-171,BMP4,NA,activating,24h,1,BMP4,2,2.661215665701676
BMP4@Condition:CCL-171&Duration:3h@GSE66109.MicroArray.GPL19807,BMP4,BMP4,0.9688347210971725,GSE66109,MicroArray,GPL19807,NA,CCL-171,BMP4,NA,activating,3h,1,BMP4,2,2.661215665701676
BMP4@Condition:CCL-171&Duration:48h@GSE66109.MicroArray.GPL19807,BMP4,BMP4,2.4546382645842524,GSE66109,MicroArray,GPL19807,NA,CCL-171,BMP4,NA,activating,48h,1,BMP4,2,2.661215665701676
BMP4@Condition:CCL171&Duration:24h@GSE66108.MicroArray.GPL9257,BMP4,BMP4,2.4395341420432404,GSE66108,MicroArray,GPL9257,NA,CCL171,BMP4,NA,activating,24h,1,BMP4,2,2.661215665701676
BMP4@Condition:embryonic stem cell@E-MEXP-1192.MicroArray.HG-U133_Plus_2,BMP4,BMP4,9.226824160592791,E-MEXP-1192,MicroArray,HG-U133_Plus_2,NA,embryonic stem cell,BMP4,NA,activating,NA,1,BMP4,2,2.661215665701676
BMP4@Condition:HES3&Duration:3d@GSE30630.MicroArray.GPL6883,BMP4,BMP4,1.6605937066147454,GSE30630,MicroArray,GPL6883,NA,HES3,BMP4,NA,activating,3d,1,BMP4,2,2.661215665701676
BMP4@Condition:Immature bone marrow mesenchymal stem cells@GSE66723.MicroArray.GPL11532,BMP4,BMP4,2.5052342389842384,GSE66723,MicroArray,GPL11532,NA,Immature bone marrow mesenchymal stem cells,BMP4,NA,activating,NA,1,BMP4,2,2.661215665701676
BMP4@Condition:MDA-MB-231&Duration:24h@GSE66108.MicroArray.GPL9257,BMP4,BMP4,3.4841886210294963,GSE66108,MicroArray,GPL9257,NA,MDA-MB-231,BMP4,NA,activating,24h,1,BMP4,2,2.661215665701676
LTB@Condition:Caco-2@GSE1474.MicroArray.GPL96,LTB,LTB,3.1622004154343,GSE1474,MicroArray,GPL96,NA,Caco-2,LTB,NA,activating,NA,1,LTB,3,2.5658955229314335
LTB@Condition:T84@GSE1474.MicroArray.GPL96,LTB,LTB,1.969590630428567,GSE1474,MicroArray,GPL96,NA,T84,LTB,NA,activating,NA,1,LTB,3,2.5658955229314335
TGFB1@Condition:A2780 cell line@GSE27526.MicroArray.HG-U133_Plus_2,TGFB1,TGFB1,0.09424249212245697,GSE27526,MicroArray,HG-U133_Plus_2,NA,A2780 cell line,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:A549 cells@GSE119145.RNASeq.SRP159066_GRCh38,TGFB1,TGFB1,1.890715324762524,GSE119145,RNASeq,SRP159066_GRCh38,NA,A549 cells,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:A549 cells@GSE135402.RNASeq.SRP217502_GRCh38,TGFB1,TGFB1,1.975916076061317,GSE135402,RNASeq,SRP217502_GRCh38,NA,A549 cells,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:A549@GSE49644.MicroArray.HG-U133_Plus_2,TGFB1,TGFB1,2.6688422556099516,GSE49644,MicroArray,HG-U133_Plus_2,NA,A549,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:A549@GSE5457.MicroArray.HG-U133A,TGFB1,TGFB1,2.7754471889478514,GSE5457,MicroArray,HG-U133A,NA,A549,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Activated Macrophage@GSE134555.RNASeq.SRP215472_GRCh38,TGFB1,TGFB1,-0.4451744748421269,GSE134555,RNASeq,SRP215472_GRCh38,NA,Activated Macrophage,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:activated naive CD4 T cells@GSE78276.RNASeq.SRP070776_GRCh38,TGFB1,TGFB1,3.262378609220605,GSE78276,RNASeq,SRP070776_GRCh38,NA,activated naive CD4 T cells,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:BEAS-2B cell line no treatment@GSE104908.RNASeq.SRP119863_GRCh38,TGFB1,TGFB1,3.706928278282802,GSE104908,RNASeq,SRP119863_GRCh38,NA,BEAS-2B cell line no treatment,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:BEAS-2B cell line+ DEX@GSE104908.RNASeq.SRP119863_GRCh38,TGFB1,TGFB1,3.67787957309943,GSE104908,RNASeq,SRP119863_GRCh38,NA,BEAS-2B cell line+ DEX,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:CCL210 fibroblast@GSE63659.MicroArray.GPL13667,TGFB1,TGFB1,3.5135833278541155,GSE63659,MicroArray,GPL13667,NA,CCL210 fibroblast,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:CD34+ progenitors&Duration:24h@GSE31318.MicroArray.HG-U133_Plus_2,TGFB1,TGFB1,1.3790590240939733,GSE31318,MicroArray,HG-U133_Plus_2,NA,CD34+ progenitors,TGFB1,NA,activating,24h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:CD34+ progenitors&Duration:6h@GSE31318.MicroArray.HG-U133_Plus_2,TGFB1,TGFB1,3.565956395967531,GSE31318,MicroArray,HG-U133_Plus_2,NA,CD34+ progenitors,TGFB1,NA,activating,6h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:CD4 Thelper&Duration:24h@GSE14330.MicroArray.HG-U133A_2,TGFB1,TGFB1,2.036371005529431,GSE14330,MicroArray,HG-U133A_2,NA,CD4 Thelper,TGFB1,NA,activating,24h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:CD4+ effector memory T cells@GSE134555.RNASeq.SRP215472_GRCh38,TGFB1,TGFB1,0.7421853970225063,GSE134555,RNASeq,SRP215472_GRCh38,NA,CD4+ effector memory T cells,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:CD4+ T cell_activated via CD3CD28@GSE17946.MicroArray.GPL2507,TGFB1,TGFB1,1.791801308165764,GSE17946,MicroArray,GPL2507,NA,CD4+ T cell,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:CD4+ T cell&Duration:18+1@GSE15390.MicroArray.GPL2507,TGFB1,TGFB1,1.9863592450984804,GSE15390,MicroArray,GPL2507,NA,CD4+ T cell,TGFB1,NA,activating,18+1,1,TGFB1,1,2.166836369036356
TGFB1@Condition:CD4+ T cell&Duration:18+8@GSE15390.MicroArray.GPL2507,TGFB1,TGFB1,1.4136810544927902,GSE15390,MicroArray,GPL2507,NA,CD4+ T cell,TGFB1,NA,activating,18+8,1,TGFB1,1,2.166836369036356
TGFB1@Condition:CD4+ T cell&Duration:20@GSE15390.MicroArray.GPL2507,TGFB1,TGFB1,0.4881081222486196,GSE15390,MicroArray,GPL2507,NA,CD4+ T cell,TGFB1,NA,activating,20,1,TGFB1,1,2.166836369036356
TGFB1@Condition:CD4+ T cells@GSE7497.MicroArray.GPL2507,TGFB1,TGFB1,1.892045898281464,GSE7497,MicroArray,GPL2507,NA,CD4+ T cells,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Cholangiocyte cell line@GSE125577.RNASeq.SRP181858_GRCh38,TGFB1,TGFB1,2.3160149802751264,GSE125577,RNASeq,SRP181858_GRCh38,NA,Cholangiocyte cell line,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:endothelial cells (HUVEC)@GSE134555.RNASeq.SRP215472_GRCh38,TGFB1,TGFB1,-0.4104818390135122,GSE134555,RNASeq,SRP215472_GRCh38,NA,endothelial cells (HUVEC),TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:fibroblast&Duration:12h@GSE99999.RNASeq.SRP109118_GRCh38,TGFB1,TGFB1,0.8071387103152718,GSE99999,RNASeq,SRP109118_GRCh38,NA,fibroblast,TGFB1,NA,activating,12h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:fibroblast&Duration:48h@GSE99999.RNASeq.SRP109118_GRCh38,TGFB1,TGFB1,1.4561335853190764,GSE99999,RNASeq,SRP109118_GRCh38,NA,fibroblast,TGFB1,NA,activating,48h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:gingival fibroblast@GSE65069.MicroArray.HuGene-1_0-st-v1,TGFB1,TGFB1,1.7154281716464823,GSE65069,MicroArray,HuGene-1_0-st-v1,NA,gingival fibroblast,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:H1975&Duration:24h@GSE98979.MicroArray.HuGene-2_0-st,TGFB1,TGFB1,2.033538452028594,GSE98979,MicroArray,HuGene-2_0-st,NA,H1975,TGFB1,NA,activating,24h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:H1975&Duration:48h@GSE98979.MicroArray.HuGene-2_0-st,TGFB1,TGFB1,2.0251841852656445,GSE98979,MicroArray,HuGene-2_0-st,NA,H1975,TGFB1,NA,activating,48h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:HaCat&Duration:12h@E-MTAB-265.MicroArray.log_rsn_normalized,TGFB1,TGFB1,2.9758064288368318,E-MTAB-265,MicroArray,log_rsn_normalized,NA,HaCat,TGFB1,NA,activating,12h,1,TGFB1,1,2.166836369036356
