id,source,score,target,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,hours_standardized,hours_inferred,inferred_time,inferred_time_systematic,inferred_time_expanded,inferred_time_all_conditions
BMP4@Condition:CCL-171&Duration:3h@GSE66109.MicroArray.GPL19807,BMP4,1.9952593517449264,BMP4,GSE66109,MicroArray,GPL19807,,CCL-171,BMP4,,activating,3h,1.0,BMP4,3.0,3.0,3.0,3.0,3.0,3.0
BMP4@Condition:CCL-171&Duration:48h@GSE66109.MicroArray.GPL19807,BMP4,3.795187479141408,BMP4,GSE66109,MicroArray,GPL19807,,CCL-171,BMP4,,activating,48h,1.0,BMP4,48.0,48.0,48.0,48.0,48.0,48.0
BMP4@Condition:CCL171&Duration:24h@GSE66108.MicroArray.GPL9257,BMP4,3.4896475901391586,BMP4,GSE66108,MicroArray,GPL9257,,CCL171,BMP4,,activating,24h,1.0,BMP4,24.0,24.0,24.0,24.0,24.0,24.0
BMP4@Condition:embryonic stem cell@E-MEXP-1192.MicroArray.HG-U133_Plus_2,BMP4,11.971194556369204,BMP4,E-MEXP-1192,MicroArray,HG-U133_Plus_2,,embryonic stem cell,BMP4,,activating,,1.0,BMP4,,,,,,
BMP4@Condition:HES3&Duration:3d@GSE30630.MicroArray.GPL6883,BMP4,4.2298268796676926,BMP4,GSE30630,MicroArray,GPL6883,,HES3,BMP4,,activating,3d,1.0,BMP4,72.0,72.0,72.0,72.0,72.0,72.0
BMP4@Condition:Immature bone marrow mesenchymal stem cells@GSE66723.MicroArray.GPL11532,BMP4,5.312814350126717,BMP4,GSE66723,MicroArray,GPL11532,,Immature bone marrow mesenchymal stem cells,BMP4,,activating,,1.0,BMP4,,,,,,
BMP4@Condition:MDA-MB-231&Duration:24h@GSE66108.MicroArray.GPL9257,BMP4,7.030276532354788,BMP4,GSE66108,MicroArray,GPL9257,,MDA-MB-231,BMP4,,activating,24h,1.0,BMP4,24.0,24.0,24.0,24.0,24.0,24.0
BMP6@Condition:mesenchymal stem cells&Duration:8h@GSE13604.MicroArray.HG-U133_Plus_2,BMP6,7.011347678478742,BMP6,GSE13604,MicroArray,HG-U133_Plus_2,,mesenchymal stem cells,BMP6,,activating,8h,1.0,BMP6,8.0,8.0,8.0,8.0,8.0,8.0
BMP6@Condition:vertebral bone marrow mesenchymal stem cell&Duration:24h@GSE28074.MicroArray.HG-U133_Plus_2,BMP6,6.325499599565337,BMP6,GSE28074,MicroArray,HG-U133_Plus_2,,vertebral bone marrow mesenchymal stem cell,BMP6,,activating,24h,1.0,BMP6,24.0,24.0,24.0,24.0,24.0,24.0
BMP6@Condition:vertebral bone marrow mesenchymal stem cell&Duration:8h@GSE28074.MicroArray.HG-U133_Plus_2,BMP6,6.064434800514145,BMP6,GSE28074,MicroArray,HG-U133_Plus_2,,vertebral bone marrow mesenchymal stem cell,BMP6,,activating,8h,1.0,BMP6,8.0,8.0,8.0,8.0,8.0,8.0
BMP6@Condition:vertebral bone marrow mesenchymal stem cell&Duration:96h@GSE28074.MicroArray.HG-U133_Plus_2,BMP6,6.278020549146218,BMP6,GSE28074,MicroArray,HG-U133_Plus_2,,vertebral bone marrow mesenchymal stem cell,BMP6,,activating,96h,1.0,BMP6,96.0,96.0,96.0,96.0,96.0,96.0
BMP7@Condition:CCL171&Duration:24h@GSE66108.MicroArray.GPL9257,BMP7,2.23543368808724,BMP7,GSE66108,MicroArray,GPL9257,,CCL171,BMP7,,activating,24h,1.0,BMP7,24.0,24.0,24.0,24.0,24.0,24.0
BMP7@Condition:MDA-MB-231&Duration:24h@GSE66108.MicroArray.GPL9257,BMP7,7.457568494110709,BMP7,GSE66108,MicroArray,GPL9257,,MDA-MB-231,BMP7,,activating,24h,1.0,BMP7,24.0,24.0,24.0,24.0,24.0,24.0
BMP7@Condition:T47D&Duration:24h@GSE66108.MicroArray.GPL9257,BMP7,1.256405337227302,BMP7,GSE66108,MicroArray,GPL9257,,T47D,BMP7,,activating,24h,1.0,BMP7,24.0,24.0,24.0,24.0,24.0,24.0
CD40L@Condition:HCK&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,1.0847723591977327,CD40LG,GSE54181,MicroArray,GPL10558,,HCK,CD40LG,,activating,24h,1.0,CD40L,24.0,24.0,24.0,24.0,24.0,24.0
CD40L@Condition:HCK&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,0.8338331422381182,CD40LG,GSE54181,MicroArray,GPL10558,,HCK,CD40LG,,activating,2h,1.0,CD40L,2.0,2.0,2.0,2.0,2.0,2.0
CD40L@Condition:HCK18&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,1.1806123588365132,CD40LG,GSE54181,MicroArray,GPL10558,,HCK18,CD40LG,,activating,24h,1.0,CD40L,24.0,24.0,24.0,24.0,24.0,24.0
CD40L@Condition:HCK18&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,0.5912430565773882,CD40LG,GSE54181,MicroArray,GPL10558,,HCK18,CD40LG,,activating,2h,1.0,CD40L,2.0,2.0,2.0,2.0,2.0,2.0
CD40L@Condition:HFK 1&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,0.4100927481221955,CD40LG,GSE54181,MicroArray,GPL10558,,HFK 1,CD40LG,,activating,24h,1.0,CD40L,24.0,24.0,24.0,24.0,24.0,24.0
CD40L@Condition:HFK 1&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,0.7609330202216067,CD40LG,GSE54181,MicroArray,GPL10558,,HFK 1,CD40LG,,activating,2h,1.0,CD40L,2.0,2.0,2.0,2.0,2.0,2.0
CD40L@Condition:HFK 2&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,1.0674542852479292,CD40LG,GSE54181,MicroArray,GPL10558,,HFK 2,CD40LG,,activating,24h,1.0,CD40L,24.0,24.0,24.0,24.0,24.0,24.0
CD40L@Condition:HFK 2&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,1.090333934249274,CD40LG,GSE54181,MicroArray,GPL10558,,HFK 2,CD40LG,,activating,2h,1.0,CD40L,2.0,2.0,2.0,2.0,2.0,2.0
CD40L@Condition:HFK16&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,-0.1565961563938672,CD40LG,GSE54181,MicroArray,GPL10558,,HFK16,CD40LG,,activating,24h,1.0,CD40L,24.0,24.0,24.0,24.0,24.0,24.0
CD40L@Condition:HFK16&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,0.2914583287363618,CD40LG,GSE54181,MicroArray,GPL10558,,HFK16,CD40LG,,activating,2h,1.0,CD40L,2.0,2.0,2.0,2.0,2.0,2.0
CD40L@Condition:HVK&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,0.5501120400893896,CD40LG,GSE54181,MicroArray,GPL10558,,HVK,CD40LG,,activating,24h,1.0,CD40L,24.0,24.0,24.0,24.0,24.0,24.0
CD40L@Condition:HVK&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,1.0424248282456952,CD40LG,GSE54181,MicroArray,GPL10558,,HVK,CD40LG,,activating,2h,1.0,CD40L,2.0,2.0,2.0,2.0,2.0,2.0
CD40L@Condition:HVK16&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,0.6683687257202954,CD40LG,GSE54181,MicroArray,GPL10558,,HVK16,CD40LG,,activating,24h,1.0,CD40L,24.0,24.0,24.0,24.0,24.0,24.0
CD40L@Condition:HVK16&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,0.2657755552977821,CD40LG,GSE54181,MicroArray,GPL10558,,HVK16,CD40LG,,activating,2h,1.0,CD40L,2.0,2.0,2.0,2.0,2.0,2.0
CD40L@Condition:HVK18&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,1.116338682912261,CD40LG,GSE54181,MicroArray,GPL10558,,HVK18,CD40LG,,activating,24h,1.0,CD40L,24.0,24.0,24.0,24.0,24.0,24.0
CD40L@Condition:HVK18&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,1.0048612630176028,CD40LG,GSE54181,MicroArray,GPL10558,,HVK18,CD40LG,,activating,2h,1.0,CD40L,2.0,2.0,2.0,2.0,2.0,2.0
CD40L@Condition:Naïve B cells purified from peripheral blood@GSE85543.MicroArray.HT_HG-U133_Plus_PM,CD40LG,1.0609917404027989,CD40LG,GSE85543,MicroArray,HT_HG-U133_Plus_PM,,Naïve B cells purified from peripheral blood,CD40LG,,activating,,1.0,CD40L,,,,,,
CXCL12@Condition:BCWM@GSE83150.MicroArray.HuGene-2_0-st,CXCL12,-0.1102581661324099,CXCL12,GSE83150,MicroArray,HuGene-2_0-st,,BCWM,CXCL12,,activating,,1.0,CXCL12,,,,,,
CXCL12@Condition:CD14+ Peripheral Blood Monocytes@GSE24496.MicroArray.GPL11010,CXCL12,2.937145585766209,CXCL12,GSE24496,MicroArray,GPL11010,,CD14+ Peripheral Blood Monocytes,CXCL12,,activating,,1.0,CXCL12,,,,,,
CXCL12@Condition:CORD BLOOD CELLS@GSE20891.MicroArray.HG-U133_Plus_2,CXCL12,-0.3616413749995434,CXCL12,GSE20891,MicroArray,HG-U133_Plus_2,,CORD BLOOD CELLS,CXCL12,,activating,,1.0,CXCL12,,,,,,
CXCL12@Condition:Ex Vivo expanded HSPC@GSE37334.MicroArray.GPL13252,CXCL12,-0.9228583594449912,CXCL12,GSE37334,MicroArray,GPL13252,,Ex Vivo expanded HSPC,CXCL12,,activating,,1.0,CXCL12,,,,,,
CXCL12@Condition:MDA-MB-231@GSE15893.MicroArray.HG-U133_Plus_2,CXCL12,-0.2016938360481272,CXCL12,GSE15893,MicroArray,HG-U133_Plus_2,,MDA-MB-231,CXCL12,,activating,,1.0,CXCL12,,,,,,
EGF@Condition:Basal breast cancer cells@GSE121663.RNASeq.SRP166454_GRCh38,EGF,1.97279059241521,EGF,GSE121663,RNASeq,SRP166454_GRCh38,,Basal breast cancer cells,EGF,,activating,,1.0,EGF,,,,,,
EGF@Condition:Glioblastoma.X01&Duration:5d@GSE77751.RNASeq.SRP069837_GRCh38,EGF,-0.5988039753443816,EGF,GSE77751,RNASeq,SRP069837_GRCh38,,Glioblastoma.X01,EGF,,activating,5d,1.0,EGF,120.0,120.0,120.0,120.0,120.0,120.0
EGF@Condition:Glioblastoma.X04&Duration:5d@GSE77751.RNASeq.SRP069837_GRCh38,EGF,-0.449812606582081,EGF,GSE77751,RNASeq,SRP069837_GRCh38,,Glioblastoma.X04,EGF,,activating,5d,1.0,EGF,120.0,120.0,120.0,120.0,120.0,120.0
EGF@Condition:Glioblastoma.X08&Duration:5d@GSE77751.RNASeq.SRP069837_GRCh38,EGF,0.1181866172646909,EGF,GSE77751,RNASeq,SRP069837_GRCh38,,Glioblastoma.X08,EGF,,activating,5d,1.0,EGF,120.0,120.0,120.0,120.0,120.0,120.0
EGF@Condition:Hec50co&Duration:12h@GSE20854.MicroArray.HG-U133_Plus_2,EGF,0.1952066323497635,EGF,GSE20854,MicroArray,HG-U133_Plus_2,,Hec50co,EGF,,activating,12h,1.0,EGF,12.0,12.0,12.0,12.0,12.0,12.0
EGF@Condition:Hec50co&Duration:24h@GSE20854.MicroArray.HG-U133_Plus_2,EGF,1.1464480223990956,EGF,GSE20854,MicroArray,HG-U133_Plus_2,,Hec50co,EGF,,activating,24h,1.0,EGF,24.0,24.0,24.0,24.0,24.0,24.0
EGF@Condition:Human fetal colon@GSE33806.MicroArray.GPL10558,EGF,-0.6030398804713056,EGF,GSE33806,MicroArray,GPL10558,,Human fetal colon,EGF,,activating,,1.0,EGF,,,,,,
EGF@Condition:Human fetal ileum@GSE33806.MicroArray.GPL10558,EGF,1.7748876182481528,EGF,GSE33806,MicroArray,GPL10558,,Human fetal ileum,EGF,,activating,,1.0,EGF,,,,,,
EGF@Condition:Human Lung Fibroblasts&Duration:0.5h@GSE60880.MicroArray.HG-U133A_2,EGF,1.543925941140475,EGF,GSE60880,MicroArray,HG-U133A_2,,Human Lung Fibroblasts,EGF,,activating,0.5h,1.0,EGF,0.5,0.5,0.5,0.5,0.5,0.5
EGF@Condition:Human Lung Fibroblasts&Duration:1.0h@GSE60880.MicroArray.HG-U133A_2,EGF,1.839039971760629,EGF,GSE60880,MicroArray,HG-U133A_2,,Human Lung Fibroblasts,EGF,,activating,1.0h,1.0,EGF,1.0,1.0,1.0,1.0,1.0,1.0
EGF@Condition:Human Lung Fibroblasts&Duration:2.0h@GSE60880.MicroArray.HG-U133A_2,EGF,1.7933449881331118,EGF,GSE60880,MicroArray,HG-U133A_2,,Human Lung Fibroblasts,EGF,,activating,2.0h,1.0,EGF,2.0,2.0,2.0,2.0,2.0,2.0
EGF@Condition:Human Lung Fibroblasts&Duration:8.0h@GSE60880.MicroArray.HG-U133A_2,EGF,1.7542160298720253,EGF,GSE60880,MicroArray,HG-U133A_2,,Human Lung Fibroblasts,EGF,,activating,8.0h,1.0,EGF,8.0,8.0,8.0,8.0,8.0,8.0
EGF@Condition:Human proximal tubular epithelial cells@GSE113039.RNASeq.SRP139759_GRCh38,EGF,1.9375335597757517,EGF,GSE113039,RNASeq,SRP139759_GRCh38,,Human proximal tubular epithelial cells,EGF,,activating,,1.0,EGF,,,,,,
EGF@Condition:Ishikawa H&Duration:12h@GSE20854.MicroArray.HG-U133_Plus_2,EGF,1.7073605795292774,EGF,GSE20854,MicroArray,HG-U133_Plus_2,,Ishikawa H,EGF,,activating,12h,1.0,EGF,12.0,12.0,12.0,12.0,12.0,12.0
EGF@Condition:Ishikawa H&Duration:24h@GSE20854.MicroArray.HG-U133_Plus_2,EGF,2.0059586528643245,EGF,GSE20854,MicroArray,HG-U133_Plus_2,,Ishikawa H,EGF,,activating,24h,1.0,EGF,24.0,24.0,24.0,24.0,24.0,24.0
EGF@Condition:MCF10A&Duration:20min@GSE53405.MicroArray.HuEx-1_0-st-v1,EGF,0.2344847279068625,EGF,GSE53405,MicroArray,HuEx-1_0-st-v1,,MCF10A,EGF,,activating,20min,1.0,EGF,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333
EGF@Condition:MCF10A&Duration:40min@GSE53405.MicroArray.HuEx-1_0-st-v1,EGF,0.994721643162917,EGF,GSE53405,MicroArray,HuEx-1_0-st-v1,,MCF10A,EGF,,activating,40min,1.0,EGF,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666
EGF@Condition:MCF10A&Duration:60min@GSE53405.MicroArray.HuEx-1_0-st-v1,EGF,1.7908524921364717,EGF,GSE53405,MicroArray,HuEx-1_0-st-v1,,MCF10A,EGF,,activating,60min,1.0,EGF,,,,1.0,1.0,1.0
EGF@Condition:MCF7@GSE112295.RNASeq.SRP136387_GRCh38,EGF,0.5660279352570151,EGF,GSE112295,RNASeq,SRP136387_GRCh38,,MCF7,EGF,,activating,,1.0,EGF,,,,,,
EGF@Condition:Mesenchymal stromal cells@GSE121697.RNASeq.SRP166560_GRCh38,EGF,1.4760355441846815,EGF,GSE121697,RNASeq,SRP166560_GRCh38,,Mesenchymal stromal cells,EGF,,activating,,1.0,EGF,,,,,,
EGF@Condition:primary keratinocyte@GSE32217.MicroArray.HuGene-1_0-st-v1,EGF,1.0416058248902504,EGF,GSE32217,MicroArray,HuGene-1_0-st-v1,,primary keratinocyte,EGF,,activating,,1.0,EGF,,,,,,
EPO@Condition:CD34+ progenitor cells@GSE43624.MicroArray.GPL6102,EPO,0.9385694525748144,EPO,GSE43624,MicroArray,GPL6102,,CD34+ progenitor cells,EPO,,activating,,1.0,EPO,,,,,,
"EPO@Condition:CD44+;CD24-;EpCAM+, SUM149 Cells@GSE51433.MicroArray.GPL4133",EPO,0.4914816815048338,EPO,GSE51433,MicroArray,GPL4133,,"CD44+;CD24-;EpCAM+, SUM149 Cells",EPO,,activating,,1.0,EPO,,,,,,
EPO@Condition:HNSCC xenograft&Duration:1h@GSE58194.MicroArray.GPL13376,EPO,,EPO,GSE58194,MicroArray,GPL13376,,HNSCC xenograft,EPO,,activating,1h,1.0,EPO,1.0,1.0,1.0,1.0,1.0,1.0
EPO@Condition:HNSCC xenograft&Duration:24h@GSE58194.MicroArray.GPL13376,EPO,,EPO,GSE58194,MicroArray,GPL13376,,HNSCC xenograft,EPO,,activating,24h,1.0,EPO,24.0,24.0,24.0,24.0,24.0,24.0
EPO@Condition:HNSCC xenograft&Duration:48h@GSE58194.MicroArray.GPL13376,EPO,,EPO,GSE58194,MicroArray,GPL13376,,HNSCC xenograft,EPO,,activating,48h,1.0,EPO,48.0,48.0,48.0,48.0,48.0,48.0
FGF10@Condition:BT474&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,-0.0355232561629181,FGF10,GSE70759,MicroArray,GPL10558,,BT474,FGF10,,activating,6h,1.0,FGF10,6.0,6.0,6.0,6.0,6.0,6.0
FGF10@Condition:MCF-7&Duration:24h@GSE48924.MicroArray.GPL10558,FGF10,-1.4069060544262284,FGF10,GSE48924,MicroArray,GPL10558,,MCF-7,FGF10,,activating,24h,1.0,FGF10,24.0,24.0,24.0,24.0,24.0,24.0
FGF10@Condition:MCF-7&Duration:24h@GSE48925.MicroArray.GPL10558,FGF10,-0.1129953901167166,FGF10,GSE48925,MicroArray,GPL10558,,MCF-7,FGF10,,activating,24h,1.0,FGF10,24.0,24.0,24.0,24.0,24.0,24.0
FGF10@Condition:MCF-7&Duration:6h@GSE48924.MicroArray.GPL10558,FGF10,-1.2335901052041485,FGF10,GSE48924,MicroArray,GPL10558,,MCF-7,FGF10,,activating,6h,1.0,FGF10,6.0,6.0,6.0,6.0,6.0,6.0
FGF10@Condition:MCF-7&Duration:6h@GSE48925.MicroArray.GPL10558,FGF10,-1.8839929149352288,FGF10,GSE48925,MicroArray,GPL10558,,MCF-7,FGF10,,activating,6h,1.0,FGF10,6.0,6.0,6.0,6.0,6.0,6.0
FGF10@Condition:MCF-7&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,-1.433838869009258,FGF10,GSE70759,MicroArray,GPL10558,,MCF-7,FGF10,,activating,6h,1.0,FGF10,6.0,6.0,6.0,6.0,6.0,6.0
FGF10@Condition:SUM52PE&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,-1.4705575901821997,FGF10,GSE70759,MicroArray,GPL10558,,SUM52PE,FGF10,,activating,6h,1.0,FGF10,6.0,6.0,6.0,6.0,6.0,6.0
FGF10@Condition:T47D&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,-1.022414968345306,FGF10,GSE70759,MicroArray,GPL10558,,T47D,FGF10,,activating,6h,1.0,FGF10,6.0,6.0,6.0,6.0,6.0,6.0
FGF10@Condition:ZR751&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,-0.7464075821042984,FGF10,GSE70759,MicroArray,GPL10558,,ZR751,FGF10,,activating,6h,1.0,FGF10,6.0,6.0,6.0,6.0,6.0,6.0
FGF19@Condition:LNCaP@GSE62192.MicroArray.GPL4133,FGF19,0.5853475886792876,FGF19,GSE62192,MicroArray,GPL4133,,LNCaP,FGF19,,activating,,1.0,FGF19,,,,,,
FGF23@Condition:LNCaP@GSE62192.MicroArray.GPL4133,FGF23,0.7032046495033717,FGF23,GSE62192,MicroArray,GPL4133,,LNCaP,FGF23,,activating,,1.0,FGF23,,,,,,
GDNF@Condition:MCF7 aromatase expressing cells (MCF7/Aro)&Duration:6d@GSE41405.MicroArray.GPL6244,GDNF,1.3092147949567303,GDNF,GSE41405,MicroArray,GPL6244,,MCF7 aromatase expressing cells (MCF7/Aro),GDNF,,activating,6d,1.0,GDNF,144.0,144.0,144.0,144.0,144.0,144.0
GMCSF@Condition:Monocyte@GSE123270.MicroArray.GPL10558,CSF2,3.8441907209812856,CSF2,GSE123270,MicroArray,GPL10558,,Monocyte,CSF2,,activating,,1.0,GMCSF,,,,,,
GMCSF@Condition:Monocyte@GSE123573.RNASeq.SRP173248_GRCh38,CSF2,1.9619594368118576,CSF2,GSE123573,RNASeq,SRP173248_GRCh38,,Monocyte,CSF2,,activating,,1.0,GMCSF,,,,,,
GMCSF@Condition:Monocyte@GSE41889.MicroArray.HG-U133_Plus_2,CSF2,-5.306634870211219,CSF2,GSE41889,MicroArray,HG-U133_Plus_2,,Monocyte,CSF2,,activating,,1.0,GMCSF,,,,,,
GMCSF@Condition:Monocyte@GSE63662.MicroArray.HG-U133_Plus_2,CSF2,-1.1137057087422368,CSF2,GSE63662,MicroArray,HG-U133_Plus_2,,Monocyte,CSF2,,activating,,1.0,GMCSF,,,,,,
GMCSF@Condition:Monocyte@GSE75938.MicroArray.PrimeView,CSF2,0.5909233182616908,CSF2,GSE75938,MicroArray,PrimeView,,Monocyte,CSF2,,activating,,1.0,GMCSF,,,,,,
GMCSF@Condition:pDC&Duration:24h@GSE57915.MicroArray.HG-U133_Plus_2,CSF2,3.4346331990389176,CSF2,GSE57915,MicroArray,HG-U133_Plus_2,,pDC,CSF2,,activating,24h,1.0,GMCSF,24.0,24.0,24.0,24.0,24.0,24.0
GMCSF@Condition:pDC&Duration:6h@GSE57915.MicroArray.HG-U133_Plus_2,CSF2,3.7453843149379504,CSF2,GSE57915,MicroArray,HG-U133_Plus_2,,pDC,CSF2,,activating,6h,1.0,GMCSF,6.0,6.0,6.0,6.0,6.0,6.0
GMCSF@Condition:TF-1.pMSCV-puro empty vector&Duration:12h@GSE60990.MicroArray.HuGene-1_0-st-v1,CSF2,2.288857614563871,CSF2,GSE60990,MicroArray,HuGene-1_0-st-v1,,TF-1.pMSCV-puro empty vector,CSF2,,activating,12h,1.0,GMCSF,12.0,12.0,12.0,12.0,12.0,12.0
GMCSF@Condition:TF-1.pMSCVpuro-GNB1K89E&Duration:12h@GSE60990.MicroArray.HuGene-1_0-st-v1,CSF2,2.1466192376116577,CSF2,GSE60990,MicroArray,HuGene-1_0-st-v1,,TF-1.pMSCVpuro-GNB1K89E,CSF2,,activating,12h,1.0,GMCSF,12.0,12.0,12.0,12.0,12.0,12.0
HGF@Condition:H1975&Duration:24h@GSE98979.MicroArray.HuGene-2_0-st,HGF,-1.143425138856305,HGF,GSE98979,MicroArray,HuGene-2_0-st,,H1975,HGF,,activating,24h,1.0,HGF,24.0,24.0,24.0,24.0,24.0,24.0
HGF@Condition:H1975&Duration:48h@GSE98979.MicroArray.HuGene-2_0-st,HGF,0.2590764641184326,HGF,GSE98979,MicroArray,HuGene-2_0-st,,H1975,HGF,,activating,48h,1.0,HGF,48.0,48.0,48.0,48.0,48.0,48.0
