id,source,score,target,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets
BMP2@Condition:dental progenitor/stem cells&Duration:7d@GSE20963.MicroArray.HuGene-1_0-st-v1,BMP2,2.9027190499877498,BMP2,GSE20963,MicroArray,HuGene-1_0-st-v1,NA,dental progenitor/stem cells,BMP2,NA,activating,7d,1,BMP2
BMP2@Condition:MDA-MB-231&Duration:24h@GSE66108.MicroArray.GPL9257,BMP2,8.736360960946715,BMP2,GSE66108,MicroArray,GPL9257,NA,MDA-MB-231,BMP2,NA,activating,24h,1,BMP2
BMP2@Condition:Primary human osteoblast like cells&Duration:24h@GSE10311.MicroArray.HG-U133_Plus_2,BMP2,3.6426114880882015,BMP2,GSE10311,MicroArray,HG-U133_Plus_2,NA,Primary human osteoblast like cells,BMP2,NA,activating,24h,1,BMP2
BMP2@Condition:Primary human osteoblast like cells&Duration:2h@GSE10311.MicroArray.HG-U133_Plus_2,BMP2,10.143529062671597,BMP2,GSE10311,MicroArray,HG-U133_Plus_2,NA,Primary human osteoblast like cells,BMP2,NA,activating,2h,1,BMP2
BMP2@Condition:T47D&Duration:24h@GSE66108.MicroArray.GPL9257,BMP2,8.7360629381547,BMP2,GSE66108,MicroArray,GPL9257,NA,T47D,BMP2,NA,activating,24h,1,BMP2
BMP4@Condition:CCL-171&Duration:12h@GSE66109.MicroArray.GPL19807,BMP4,2.609617854276051,BMP4,GSE66109,MicroArray,GPL19807,NA,CCL-171,BMP4,NA,activating,12h,1,BMP4
BMP4@Condition:CCL-171&Duration:24h@GSE66109.MicroArray.GPL19807,BMP4,1.071891420699222,BMP4,GSE66109,MicroArray,GPL19807,NA,CCL-171,BMP4,NA,activating,24h,1,BMP4
BMP4@Condition:CCL-171&Duration:3h@GSE66109.MicroArray.GPL19807,BMP4,1.9952593517449262,BMP4,GSE66109,MicroArray,GPL19807,NA,CCL-171,BMP4,NA,activating,3h,1,BMP4
BMP4@Condition:CCL-171&Duration:48h@GSE66109.MicroArray.GPL19807,BMP4,3.795187479141408,BMP4,GSE66109,MicroArray,GPL19807,NA,CCL-171,BMP4,NA,activating,48h,1,BMP4
BMP4@Condition:CCL171&Duration:24h@GSE66108.MicroArray.GPL9257,BMP4,3.4896475901391586,BMP4,GSE66108,MicroArray,GPL9257,NA,CCL171,BMP4,NA,activating,24h,1,BMP4
BMP4@Condition:embryonic stem cell@E-MEXP-1192.MicroArray.HG-U133_Plus_2,BMP4,11.971194556369204,BMP4,E-MEXP-1192,MicroArray,HG-U133_Plus_2,NA,embryonic stem cell,BMP4,NA,activating,NA,1,BMP4
BMP4@Condition:HES3&Duration:3d@GSE30630.MicroArray.GPL6883,BMP4,4.2298268796676926,BMP4,GSE30630,MicroArray,GPL6883,NA,HES3,BMP4,NA,activating,3d,1,BMP4
BMP4@Condition:Immature bone marrow mesenchymal stem cells@GSE66723.MicroArray.GPL11532,BMP4,5.312814350126717,BMP4,GSE66723,MicroArray,GPL11532,NA,Immature bone marrow mesenchymal stem cells,BMP4,NA,activating,NA,1,BMP4
BMP4@Condition:MDA-MB-231&Duration:24h@GSE66108.MicroArray.GPL9257,BMP4,7.0302765323547876,BMP4,GSE66108,MicroArray,GPL9257,NA,MDA-MB-231,BMP4,NA,activating,24h,1,BMP4
BMP6@Condition:mesenchymal stem cells&Duration:8h@GSE13604.MicroArray.HG-U133_Plus_2,BMP6,7.011347678478742,BMP6,GSE13604,MicroArray,HG-U133_Plus_2,NA,mesenchymal stem cells,BMP6,NA,activating,8h,1,BMP6
BMP6@Condition:vertebral bone marrow mesenchymal stem cell&Duration:24h@GSE28074.MicroArray.HG-U133_Plus_2,BMP6,6.325499599565337,BMP6,GSE28074,MicroArray,HG-U133_Plus_2,NA,vertebral bone marrow mesenchymal stem cell,BMP6,NA,activating,24h,1,BMP6
BMP6@Condition:vertebral bone marrow mesenchymal stem cell&Duration:8h@GSE28074.MicroArray.HG-U133_Plus_2,BMP6,6.064434800514145,BMP6,GSE28074,MicroArray,HG-U133_Plus_2,NA,vertebral bone marrow mesenchymal stem cell,BMP6,NA,activating,8h,1,BMP6
BMP6@Condition:vertebral bone marrow mesenchymal stem cell&Duration:96h@GSE28074.MicroArray.HG-U133_Plus_2,BMP6,6.278020549146218,BMP6,GSE28074,MicroArray,HG-U133_Plus_2,NA,vertebral bone marrow mesenchymal stem cell,BMP6,NA,activating,96h,1,BMP6
BMP7@Condition:CCL171&Duration:24h@GSE66108.MicroArray.GPL9257,BMP7,2.23543368808724,BMP7,GSE66108,MicroArray,GPL9257,NA,CCL171,BMP7,NA,activating,24h,1,BMP7
BMP7@Condition:MDA-MB-231&Duration:24h@GSE66108.MicroArray.GPL9257,BMP7,7.457568494110709,BMP7,GSE66108,MicroArray,GPL9257,NA,MDA-MB-231,BMP7,NA,activating,24h,1,BMP7
BMP7@Condition:T47D&Duration:24h@GSE66108.MicroArray.GPL9257,BMP7,1.256405337227302,BMP7,GSE66108,MicroArray,GPL9257,NA,T47D,BMP7,NA,activating,24h,1,BMP7
CD40L@Condition:HCK&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,1.0847723591977327,CD40LG,GSE54181,MicroArray,GPL10558,NA,HCK,CD40LG,NA,activating,24h,1,CD40L
CD40L@Condition:HCK&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,0.8338331422381182,CD40LG,GSE54181,MicroArray,GPL10558,NA,HCK,CD40LG,NA,activating,2h,1,CD40L
CD40L@Condition:HCK18&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,1.1806123588365132,CD40LG,GSE54181,MicroArray,GPL10558,NA,HCK18,CD40LG,NA,activating,24h,1,CD40L
CD40L@Condition:HCK18&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,0.5912430565773882,CD40LG,GSE54181,MicroArray,GPL10558,NA,HCK18,CD40LG,NA,activating,2h,1,CD40L
CD40L@Condition:HFK 1&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,0.4100927481221955,CD40LG,GSE54181,MicroArray,GPL10558,NA,HFK 1,CD40LG,NA,activating,24h,1,CD40L
CD40L@Condition:HFK 1&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,0.7609330202216067,CD40LG,GSE54181,MicroArray,GPL10558,NA,HFK 1,CD40LG,NA,activating,2h,1,CD40L
CD40L@Condition:HFK 2&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,1.0674542852479292,CD40LG,GSE54181,MicroArray,GPL10558,NA,HFK 2,CD40LG,NA,activating,24h,1,CD40L
CD40L@Condition:HFK 2&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,1.090333934249274,CD40LG,GSE54181,MicroArray,GPL10558,NA,HFK 2,CD40LG,NA,activating,2h,1,CD40L
CD40L@Condition:HFK16&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,-0.15659615639386723,CD40LG,GSE54181,MicroArray,GPL10558,NA,HFK16,CD40LG,NA,activating,24h,1,CD40L
CD40L@Condition:HFK16&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,0.2914583287363618,CD40LG,GSE54181,MicroArray,GPL10558,NA,HFK16,CD40LG,NA,activating,2h,1,CD40L
CD40L@Condition:HVK&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,0.5501120400893896,CD40LG,GSE54181,MicroArray,GPL10558,NA,HVK,CD40LG,NA,activating,24h,1,CD40L
CD40L@Condition:HVK&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,1.0424248282456952,CD40LG,GSE54181,MicroArray,GPL10558,NA,HVK,CD40LG,NA,activating,2h,1,CD40L
CD40L@Condition:HVK16&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,0.6683687257202954,CD40LG,GSE54181,MicroArray,GPL10558,NA,HVK16,CD40LG,NA,activating,24h,1,CD40L
CD40L@Condition:HVK16&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,0.2657755552977821,CD40LG,GSE54181,MicroArray,GPL10558,NA,HVK16,CD40LG,NA,activating,2h,1,CD40L
CD40L@Condition:HVK18&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,1.116338682912261,CD40LG,GSE54181,MicroArray,GPL10558,NA,HVK18,CD40LG,NA,activating,24h,1,CD40L
CD40L@Condition:HVK18&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,1.0048612630176028,CD40LG,GSE54181,MicroArray,GPL10558,NA,HVK18,CD40LG,NA,activating,2h,1,CD40L
CD40L@Condition:Naïve B cells purified from peripheral blood@GSE85543.MicroArray.HT_HG-U133_Plus_PM,CD40LG,1.0609917404027989,CD40LG,GSE85543,MicroArray,HT_HG-U133_Plus_PM,NA,Naïve B cells purified from peripheral blood,CD40LG,NA,activating,NA,1,CD40L
CXCL12@Condition:BCWM@GSE83150.MicroArray.HuGene-2_0-st,CXCL12,-0.1102581661324099,CXCL12,GSE83150,MicroArray,HuGene-2_0-st,NA,BCWM,CXCL12,NA,activating,NA,1,CXCL12
CXCL12@Condition:CD14+ Peripheral Blood Monocytes@GSE24496.MicroArray.GPL11010,CXCL12,2.9371455857662094,CXCL12,GSE24496,MicroArray,GPL11010,NA,CD14+ Peripheral Blood Monocytes,CXCL12,NA,activating,NA,1,CXCL12
CXCL12@Condition:CORD BLOOD CELLS@GSE20891.MicroArray.HG-U133_Plus_2,CXCL12,-0.36164137499954346,CXCL12,GSE20891,MicroArray,HG-U133_Plus_2,NA,CORD BLOOD CELLS,CXCL12,NA,activating,NA,1,CXCL12
CXCL12@Condition:Ex Vivo expanded HSPC@GSE37334.MicroArray.GPL13252,CXCL12,-0.9228583594449911,CXCL12,GSE37334,MicroArray,GPL13252,NA,Ex Vivo expanded HSPC,CXCL12,NA,activating,NA,1,CXCL12
CXCL12@Condition:MDA-MB-231@GSE15893.MicroArray.HG-U133_Plus_2,CXCL12,-0.20169383604812724,CXCL12,GSE15893,MicroArray,HG-U133_Plus_2,NA,MDA-MB-231,CXCL12,NA,activating,NA,1,CXCL12
EGF@Condition:Basal breast cancer cells@GSE121663.RNASeq.SRP166454_GRCh38,EGF,1.97279059241521,EGF,GSE121663,RNASeq,SRP166454_GRCh38,NA,Basal breast cancer cells,EGF,NA,activating,NA,1,EGF
EGF@Condition:Glioblastoma.X01&Duration:5d@GSE77751.RNASeq.SRP069837_GRCh38,EGF,-0.5988039753443816,EGF,GSE77751,RNASeq,SRP069837_GRCh38,NA,Glioblastoma.X01,EGF,NA,activating,5d,1,EGF
EGF@Condition:Glioblastoma.X04&Duration:5d@GSE77751.RNASeq.SRP069837_GRCh38,EGF,-0.44981260658208105,EGF,GSE77751,RNASeq,SRP069837_GRCh38,NA,Glioblastoma.X04,EGF,NA,activating,5d,1,EGF
EGF@Condition:Glioblastoma.X08&Duration:5d@GSE77751.RNASeq.SRP069837_GRCh38,EGF,0.11818661726469093,EGF,GSE77751,RNASeq,SRP069837_GRCh38,NA,Glioblastoma.X08,EGF,NA,activating,5d,1,EGF
EGF@Condition:Hec50co&Duration:12h@GSE20854.MicroArray.HG-U133_Plus_2,EGF,0.19520663234976351,EGF,GSE20854,MicroArray,HG-U133_Plus_2,NA,Hec50co,EGF,NA,activating,12h,1,EGF
EGF@Condition:Hec50co&Duration:24h@GSE20854.MicroArray.HG-U133_Plus_2,EGF,1.1464480223990956,EGF,GSE20854,MicroArray,HG-U133_Plus_2,NA,Hec50co,EGF,NA,activating,24h,1,EGF
EGF@Condition:Human fetal colon@GSE33806.MicroArray.GPL10558,EGF,-0.6030398804713056,EGF,GSE33806,MicroArray,GPL10558,NA,Human fetal colon,EGF,NA,activating,NA,1,EGF
EGF@Condition:Human fetal ileum@GSE33806.MicroArray.GPL10558,EGF,1.7748876182481528,EGF,GSE33806,MicroArray,GPL10558,NA,Human fetal ileum,EGF,NA,activating,NA,1,EGF
EGF@Condition:Human Lung Fibroblasts&Duration:0.5h@GSE60880.MicroArray.HG-U133A_2,EGF,1.5439259411404753,EGF,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,EGF,NA,activating,0.5h,1,EGF
EGF@Condition:Human Lung Fibroblasts&Duration:1.0h@GSE60880.MicroArray.HG-U133A_2,EGF,1.839039971760629,EGF,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,EGF,NA,activating,1.0h,1,EGF
EGF@Condition:Human Lung Fibroblasts&Duration:2.0h@GSE60880.MicroArray.HG-U133A_2,EGF,1.7933449881331118,EGF,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,EGF,NA,activating,2.0h,1,EGF
EGF@Condition:Human Lung Fibroblasts&Duration:8.0h@GSE60880.MicroArray.HG-U133A_2,EGF,1.7542160298720253,EGF,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,EGF,NA,activating,8.0h,1,EGF
EGF@Condition:Human proximal tubular epithelial cells@GSE113039.RNASeq.SRP139759_GRCh38,EGF,1.9375335597757515,EGF,GSE113039,RNASeq,SRP139759_GRCh38,NA,Human proximal tubular epithelial cells,EGF,NA,activating,NA,1,EGF
EGF@Condition:Ishikawa H&Duration:12h@GSE20854.MicroArray.HG-U133_Plus_2,EGF,1.7073605795292774,EGF,GSE20854,MicroArray,HG-U133_Plus_2,NA,Ishikawa H,EGF,NA,activating,12h,1,EGF
EGF@Condition:Ishikawa H&Duration:24h@GSE20854.MicroArray.HG-U133_Plus_2,EGF,2.0059586528643245,EGF,GSE20854,MicroArray,HG-U133_Plus_2,NA,Ishikawa H,EGF,NA,activating,24h,1,EGF
EGF@Condition:MCF10A&Duration:20min@GSE53405.MicroArray.HuEx-1_0-st-v1,EGF,0.2344847279068625,EGF,GSE53405,MicroArray,HuEx-1_0-st-v1,NA,MCF10A,EGF,NA,activating,20min,1,EGF
EGF@Condition:MCF10A&Duration:40min@GSE53405.MicroArray.HuEx-1_0-st-v1,EGF,0.994721643162917,EGF,GSE53405,MicroArray,HuEx-1_0-st-v1,NA,MCF10A,EGF,NA,activating,40min,1,EGF
EGF@Condition:MCF10A&Duration:60min@GSE53405.MicroArray.HuEx-1_0-st-v1,EGF,1.7908524921364715,EGF,GSE53405,MicroArray,HuEx-1_0-st-v1,NA,MCF10A,EGF,NA,activating,60min,1,EGF
EGF@Condition:MCF7@GSE112295.RNASeq.SRP136387_GRCh38,EGF,0.5660279352570151,EGF,GSE112295,RNASeq,SRP136387_GRCh38,NA,MCF7,EGF,NA,activating,NA,1,EGF
EGF@Condition:Mesenchymal stromal cells@GSE121697.RNASeq.SRP166560_GRCh38,EGF,1.4760355441846815,EGF,GSE121697,RNASeq,SRP166560_GRCh38,NA,Mesenchymal stromal cells,EGF,NA,activating,NA,1,EGF
EGF@Condition:primary keratinocyte@GSE32217.MicroArray.HuGene-1_0-st-v1,EGF,1.0416058248902504,EGF,GSE32217,MicroArray,HuGene-1_0-st-v1,NA,primary keratinocyte,EGF,NA,activating,NA,1,EGF
EPO@Condition:CD34+ progenitor cells@GSE43624.MicroArray.GPL6102,EPO,0.9385694525748143,EPO,GSE43624,MicroArray,GPL6102,NA,CD34+ progenitor cells,EPO,NA,activating,NA,1,EPO
"EPO@Condition:CD44+;CD24-;EpCAM+, SUM149 Cells@GSE51433.MicroArray.GPL4133",EPO,0.4914816815048338,EPO,GSE51433,MicroArray,GPL4133,NA,"CD44+;CD24-;EpCAM+, SUM149 Cells",EPO,NA,activating,NA,1,EPO
EPO@Condition:HNSCC xenograft&Duration:1h@GSE58194.MicroArray.GPL13376,EPO,NA,EPO,GSE58194,MicroArray,GPL13376,NA,HNSCC xenograft,EPO,NA,activating,1h,1,EPO
EPO@Condition:HNSCC xenograft&Duration:24h@GSE58194.MicroArray.GPL13376,EPO,NA,EPO,GSE58194,MicroArray,GPL13376,NA,HNSCC xenograft,EPO,NA,activating,24h,1,EPO
EPO@Condition:HNSCC xenograft&Duration:48h@GSE58194.MicroArray.GPL13376,EPO,NA,EPO,GSE58194,MicroArray,GPL13376,NA,HNSCC xenograft,EPO,NA,activating,48h,1,EPO
FGF10@Condition:BT474&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,-0.0355232561629181,FGF10,GSE70759,MicroArray,GPL10558,NA,BT474,FGF10,NA,activating,6h,1,FGF10
FGF10@Condition:MCF-7&Duration:24h@GSE48924.MicroArray.GPL10558,FGF10,-1.4069060544262284,FGF10,GSE48924,MicroArray,GPL10558,NA,MCF-7,FGF10,NA,activating,24h,1,FGF10
FGF10@Condition:MCF-7&Duration:24h@GSE48925.MicroArray.GPL10558,FGF10,-0.11299539011671661,FGF10,GSE48925,MicroArray,GPL10558,NA,MCF-7,FGF10,NA,activating,24h,1,FGF10
FGF10@Condition:MCF-7&Duration:6h@GSE48924.MicroArray.GPL10558,FGF10,-1.2335901052041485,FGF10,GSE48924,MicroArray,GPL10558,NA,MCF-7,FGF10,NA,activating,6h,1,FGF10
FGF10@Condition:MCF-7&Duration:6h@GSE48925.MicroArray.GPL10558,FGF10,-1.8839929149352286,FGF10,GSE48925,MicroArray,GPL10558,NA,MCF-7,FGF10,NA,activating,6h,1,FGF10
FGF10@Condition:MCF-7&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,-1.433838869009258,FGF10,GSE70759,MicroArray,GPL10558,NA,MCF-7,FGF10,NA,activating,6h,1,FGF10
FGF10@Condition:SUM52PE&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,-1.4705575901821997,FGF10,GSE70759,MicroArray,GPL10558,NA,SUM52PE,FGF10,NA,activating,6h,1,FGF10
FGF10@Condition:T47D&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,-1.022414968345306,FGF10,GSE70759,MicroArray,GPL10558,NA,T47D,FGF10,NA,activating,6h,1,FGF10
FGF10@Condition:ZR751&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,-0.7464075821042984,FGF10,GSE70759,MicroArray,GPL10558,NA,ZR751,FGF10,NA,activating,6h,1,FGF10
FGF19@Condition:LNCaP@GSE62192.MicroArray.GPL4133,FGF19,0.5853475886792876,FGF19,GSE62192,MicroArray,GPL4133,NA,LNCaP,FGF19,NA,activating,NA,1,FGF19
FGF23@Condition:LNCaP@GSE62192.MicroArray.GPL4133,FGF23,0.7032046495033717,FGF23,GSE62192,MicroArray,GPL4133,NA,LNCaP,FGF23,NA,activating,NA,1,FGF23
GDNF@Condition:MCF7 aromatase expressing cells (MCF7/Aro)&Duration:6d@GSE41405.MicroArray.GPL6244,GDNF,1.3092147949567303,GDNF,GSE41405,MicroArray,GPL6244,NA,MCF7 aromatase expressing cells (MCF7/Aro),GDNF,NA,activating,6d,1,GDNF
GMCSF@Condition:Monocyte@GSE123270.MicroArray.GPL10558,CSF2,3.8441907209812856,CSF2,GSE123270,MicroArray,GPL10558,NA,Monocyte,CSF2,NA,activating,NA,1,GMCSF
GMCSF@Condition:Monocyte@GSE123573.RNASeq.SRP173248_GRCh38,CSF2,1.9619594368118578,CSF2,GSE123573,RNASeq,SRP173248_GRCh38,NA,Monocyte,CSF2,NA,activating,NA,1,GMCSF
GMCSF@Condition:Monocyte@GSE41889.MicroArray.HG-U133_Plus_2,CSF2,-5.306634870211219,CSF2,GSE41889,MicroArray,HG-U133_Plus_2,NA,Monocyte,CSF2,NA,activating,NA,1,GMCSF
GMCSF@Condition:Monocyte@GSE63662.MicroArray.HG-U133_Plus_2,CSF2,-1.1137057087422368,CSF2,GSE63662,MicroArray,HG-U133_Plus_2,NA,Monocyte,CSF2,NA,activating,NA,1,GMCSF
GMCSF@Condition:Monocyte@GSE75938.MicroArray.PrimeView,CSF2,0.5909233182616908,CSF2,GSE75938,MicroArray,PrimeView,NA,Monocyte,CSF2,NA,activating,NA,1,GMCSF
GMCSF@Condition:pDC&Duration:24h@GSE57915.MicroArray.HG-U133_Plus_2,CSF2,3.4346331990389176,CSF2,GSE57915,MicroArray,HG-U133_Plus_2,NA,pDC,CSF2,NA,activating,24h,1,GMCSF
GMCSF@Condition:pDC&Duration:6h@GSE57915.MicroArray.HG-U133_Plus_2,CSF2,3.7453843149379504,CSF2,GSE57915,MicroArray,HG-U133_Plus_2,NA,pDC,CSF2,NA,activating,6h,1,GMCSF
GMCSF@Condition:TF-1.pMSCV-puro empty vector&Duration:12h@GSE60990.MicroArray.HuGene-1_0-st-v1,CSF2,2.288857614563871,CSF2,GSE60990,MicroArray,HuGene-1_0-st-v1,NA,TF-1.pMSCV-puro empty vector,CSF2,NA,activating,12h,1,GMCSF
GMCSF@Condition:TF-1.pMSCVpuro-GNB1K89E&Duration:12h@GSE60990.MicroArray.HuGene-1_0-st-v1,CSF2,2.1466192376116577,CSF2,GSE60990,MicroArray,HuGene-1_0-st-v1,NA,TF-1.pMSCVpuro-GNB1K89E,CSF2,NA,activating,12h,1,GMCSF
HGF@Condition:H1975&Duration:24h@GSE98979.MicroArray.HuGene-2_0-st,HGF,-1.143425138856305,HGF,GSE98979,MicroArray,HuGene-2_0-st,NA,H1975,HGF,NA,activating,24h,1,HGF
HGF@Condition:H1975&Duration:48h@GSE98979.MicroArray.HuGene-2_0-st,HGF,0.2590764641184326,HGF,GSE98979,MicroArray,HuGene-2_0-st,NA,H1975,HGF,NA,activating,48h,1,HGF
HGF@Condition:lymphatic endothelial cells@E-MEXP-256.MicroArray.HG-U133_Plus_2,HGF,-1.3107505804566826,HGF,E-MEXP-256,MicroArray,HG-U133_Plus_2,NA,lymphatic endothelial cells,HGF,NA,activating,NA,1,HGF
HGF@Condition:prostate adenocarcinoma cell line PC3M&Duration:16h@GSE71404.MicroArray.GPL570,HGF,1.089888945824579,HGF,GSE71404,MicroArray,GPL570,NA,prostate adenocarcinoma cell line PC3M,HGF,NA,activating,16h,1,HGF
HGF@Condition:prostate adenocarcinoma cell line PC3M&Duration:32h@GSE71404.MicroArray.GPL570,HGF,0.002551297505342049,HGF,GSE71404,MicroArray,GPL570,NA,prostate adenocarcinoma cell line PC3M,HGF,NA,activating,32h,1,HGF
HGF@Condition:prostate adenocarcinoma cell line PC3M&Duration:8h@GSE71404.MicroArray.GPL570,HGF,0.7380475276436815,HGF,GSE71404,MicroArray,GPL570,NA,prostate adenocarcinoma cell line PC3M,HGF,NA,activating,8h,1,HGF
IFNA@Condition:A549&Duration:24h@GSE5542.MicroArray.GPL96,IFNA1,6.7008633866456835,IFNA1,GSE5542,MicroArray,GPL96,NA,A549,IFNA1,NA,activating,24h,1,IFNA
IFNA@Condition:A549&Duration:6h@GSE5542.MicroArray.GPL96,IFNA1,8.218533925604323,IFNA1,GSE5542,MicroArray,GPL96,NA,A549,IFNA1,NA,activating,6h,1,IFNA
IFNA@Condition:ascitic fluid@GSE9481.MicroArray.HG-U133_Plus_2,IFNA1,11.949327499314638,IFNA1,GSE9481,MicroArray,HG-U133_Plus_2,NA,ascitic fluid,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:B-cell@GSE117637.RNASeq.SRP155182_GRCh38,IFNA1,5.74794908861969,IFNA1,GSE117637,RNASeq,SRP155182_GRCh38,NA,B-cell,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:Calu-3&Duration:12h@GSE70217.MicroArray.GPL13497,IFNA1,NA,IFNA1,GSE70217,MicroArray,GPL13497,NA,Calu-3,IFNA1,NA,activating,12h,1,IFNA
IFNA@Condition:Calu-3&Duration:18h@GSE33264.MicroArray.GPL4133,IFNA1,NA,IFNA1,GSE33264,MicroArray,GPL4133,NA,Calu-3,IFNA1,NA,activating,18h,1,IFNA
IFNA@Condition:Calu-3&Duration:18h@GSE70217.MicroArray.GPL13497,IFNA1,NA,IFNA1,GSE70217,MicroArray,GPL13497,NA,Calu-3,IFNA1,NA,activating,18h,1,IFNA
IFNA@Condition:Calu-3&Duration:3h@GSE33264.MicroArray.GPL4133,IFNA1,NA,IFNA1,GSE33264,MicroArray,GPL4133,NA,Calu-3,IFNA1,NA,activating,3h,1,IFNA
IFNA@Condition:Calu-3&Duration:6h@GSE33264.MicroArray.GPL4133,IFNA1,NA,IFNA1,GSE33264,MicroArray,GPL4133,NA,Calu-3,IFNA1,NA,activating,6h,1,IFNA
IFNA@Condition:Calu-3&Duration:6h@GSE70217.MicroArray.GPL13497,IFNA1,NA,IFNA1,GSE70217,MicroArray,GPL13497,NA,Calu-3,IFNA1,NA,activating,6h,1,IFNA
IFNA@Condition:CD4+ T cell&Duration:48h@GSE20198.MicroArray.HG-U133A,IFNA1,7.241999119909214,IFNA1,GSE20198,MicroArray,HG-U133A,NA,CD4+ T cell,IFNA1,NA,activating,48h,1,IFNA
IFNA@Condition:ENCODE EBV-immortalized B cell line@GSE72501.RNASeq.SRP062956_GRCh38,IFNA1,NA,IFNA1,GSE72501,RNASeq,SRP062956_GRCh38,NA,ENCODE EBV-immortalized B cell line,IFNA1,NA,activating,NA,1,IFNA
