id,ligand,sign,score_original,level_original,snapshot_original,figure_target_mapped,score_updated,level_updated,snapshot_updated,performance_original,performance_updated,performance_delta,level_delta,comparison_status
TNFA&Dose:100.0 ng/ml@Condition:bronchus epithelial cell&Duration:0.5h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:0.1 ng/ml@Condition:bronchus epithelial cell&Duration:2.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:1.0 ng/ml@Condition:bronchus epithelial cell&Duration:2.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:10.0 ng/ml@Condition:bronchus epithelial cell&Duration:2.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:100.0 ng/ml@Condition:bronchus epithelial cell&Duration:2.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:0.1 ng/ml@Condition:bronchus epithelial cell&Duration:24.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:1.0 ng/ml@Condition:bronchus epithelial cell&Duration:24.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:10.0 ng/ml@Condition:bronchus epithelial cell&Duration:24.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:100.0 ng/ml@Condition:bronchus epithelial cell&Duration:24.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:0.1 ng/ml@Condition:bronchus epithelial cell&Duration:4.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:1.0 ng/ml@Condition:bronchus epithelial cell&Duration:4.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:10.0 ng/ml@Condition:bronchus epithelial cell&Duration:4.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:100.0 ng/ml@Condition:bronchus epithelial cell&Duration:4.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:100ng/ml@Condition:NHBE cell&Duration:0.5h@E-MTAB-1312.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:10ng/ml@Condition:NHBE cell&Duration:0.5h@E-MTAB-1312.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:30ng/ml@Condition:NHBE cell&Duration:0.5h@E-MTAB-1312.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:100ng/ml@Condition:NHBE cell&Duration:2.0h@E-MTAB-1312.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:10ng/ml@Condition:NHBE cell&Duration:2.0h@E-MTAB-1312.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:30ng/ml@Condition:NHBE cell&Duration:2.0h@E-MTAB-1312.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:100ng/ml@Condition:NHBE cell&Duration:24.0h@E-MTAB-1312.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:10ng/ml@Condition:NHBE cell&Duration:24.0h@E-MTAB-1312.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:30ng/ml@Condition:NHBE cell&Duration:24.0h@E-MTAB-1312.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:100ng/ml@Condition:NHBE cell&Duration:4.0h@E-MTAB-1312.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:10ng/ml@Condition:NHBE cell&Duration:4.0h@E-MTAB-1312.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:30ng/ml@Condition:NHBE cell&Duration:4.0h@E-MTAB-1312.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNG&Dose:100 u/m@Condition:Dendritic@E-MTAB-1326.MicroArray.SAMHD1_and_IFN_human_cells,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNB&Dose:100 u/m@Condition:HeLa@E-MTAB-1326.MicroArray.SAMHD1_and_IFN_human_cells,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNG&Dose:100 u/m@Condition:HeLa@E-MTAB-1326.MicroArray.SAMHD1_and_IFN_human_cells,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNB&Dose:100 u/m@Condition:Macrophage@E-MTAB-1326.MicroArray.SAMHD1_and_IFN_human_cells,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNG&Dose:100 u/m@Condition:Macrophage@E-MTAB-1326.MicroArray.SAMHD1_and_IFN_human_cells,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNB&Dose:100 u/m@Condition:SupT1@E-MTAB-1326.MicroArray.SAMHD1_and_IFN_human_cells,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNG&Dose:100 u/m@Condition:SupT1@E-MTAB-1326.MicroArray.SAMHD1_and_IFN_human_cells,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNB&Dose:100 u/m@Condition:THP1@E-MTAB-1326.MicroArray.SAMHD1_and_IFN_human_cells,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNG&Dose:100 u/m@Condition:THP1@E-MTAB-1326.MicroArray.SAMHD1_and_IFN_human_cells,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNB@Condition:monocyte-derived macrophages@E-MTAB-1437.MicroArray.Transformed_data_file,IFNA1,1,NA,NA,original,TRUE,NA,NA,updated,NA,NA,NA,NA,missing_both
IFNG&Dose:100 ng/m@Condition:NHBE@E-MTAB-2091.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IL11&Dose:100 ng/m@Condition:NHBE@E-MTAB-2091.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IL1B&Dose:50 ng/m@Condition:NHBE@E-MTAB-2091.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IL4&Dose:100 ng/m@Condition:NHBE@E-MTAB-2091.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:100 ng/m@Condition:NHBE@E-MTAB-2091.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
FGF1&Dose:0.01mg/ml@Condition:human astrocytes&Duration:24h@E-MTAB-2485.MicroArray.HuGene-1_0-st-v1,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
FGF1&Dose:0.01mg/ml@Condition:human astrocytes&Duration:8h@E-MTAB-2485.MicroArray.HuGene-1_0-st-v1,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TGFB1@Condition:HaCat&Duration:12h@E-MTAB-265.MicroArray.log_rsn_normalized,TGFB1,1,0.241915139537434,1,original,TRUE,2.9758064288368318,1,updated,0.241915139537434,2.9758064288368318,2.7338912892993976,0,shared
TGFB1@Condition:HaCat&Duration:2h@E-MTAB-265.MicroArray.log_rsn_normalized,TGFB1,1,0.2888579322035855,1,original,TRUE,3.212110215527135,1,updated,0.2888579322035855,3.212110215527135,2.9232522833235492,0,shared
TGFB1@Condition:HaCat&Duration:4h@E-MTAB-265.MicroArray.log_rsn_normalized,TGFB1,1,0.011964221650606977,1,original,TRUE,3.7412336462821174,1,updated,0.011964221650606977,3.7412336462821174,3.7292694246315103,0,shared
WNT3A@Condition:Hela@E-MTAB-2872.MicroArray.HuGene-2_0-st,WNT3A,1,1.641323967870808,3,original,TRUE,2.735059348422764,3,updated,1.641323967870808,2.735059348422764,1.093735380551956,0,shared
IFNG@Condition:Macrophage@E-MTAB-3255.MicroArray.MDM_Transformed_data_matrix,IFNG,1,3.1263385112939224,2,original,TRUE,3.669198472351384,3,updated,3.1263385112939224,3.669198472351384,0.5428599610574616,1,shared
IL10@Condition:Macrophage@E-MTAB-3255.MicroArray.MDM_Transformed_data_matrix,IL10,1,-3.877449864479464,1,original,TRUE,-5.3050250966004064,1,updated,-3.877449864479464,-5.3050250966004064,-1.4275752321209425,0,shared
TNFA@Condition:Macrophage@E-MTAB-3255.MicroArray.MDM_Transformed_data_matrix,TNF,1,0.8684982904534405,1,original,TRUE,0.8636843287246869,1,updated,0.8684982904534405,0.8636843287246869,-0.004813961728753591,0,shared
TNFA&Dose:10ng/ml_Duration:4h@Condition:HCAEC cell@E-MTAB-3644.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNG@Condition:Hep3B@E-MTAB-4570.MicroArray.HTA-2_0,IFNG,1,3.6224066742594463,2,original,TRUE,3.708079501490554,3,updated,3.6224066742594463,3.708079501490554,0.0856728272311078,1,shared
IL27@Condition:Hep3B@E-MTAB-4570.MicroArray.HTA-2_0,IL27,1,5.164170743839075,2,original,TRUE,NA,NA,updated,5.164170743839075,NA,NA,NA,original_only
IL6@Condition:Hep3B@E-MTAB-4570.MicroArray.HTA-2_0,IL6,1,-0.7264807919370125,2,original,TRUE,4.122996747152887,3,updated,-0.7264807919370125,4.122996747152887,4.849477539089899,1,shared
IFNG@Condition:HepG2@E-MTAB-4570.MicroArray.HTA-2_0,IFNG,1,3.2857182091314603,2,original,TRUE,2.1177391513159303,3,updated,3.2857182091314603,2.1177391513159303,-1.16797905781553,1,shared
IL27@Condition:HepG2@E-MTAB-4570.MicroArray.HTA-2_0,IL27,1,4.643670762573154,2,original,TRUE,NA,NA,updated,4.643670762573154,NA,NA,NA,original_only
IL6@Condition:HepG2@E-MTAB-4570.MicroArray.HTA-2_0,IL6,1,-0.7793643336779142,2,original,TRUE,2.2767035226665815,3,updated,-0.7793643336779142,2.2767035226665815,3.056067856344496,1,shared
OSM@Condition:HepG2@E-MTAB-4570.MicroArray.HTA-2_0,OSM,1,-2.743719656178002,2,original,TRUE,2.8018018425265163,3,updated,-2.743719656178002,2.8018018425265163,5.5455214987045185,1,shared
IFNG@Condition:HuH-7@E-MTAB-4570.MicroArray.HTA-2_0,IFNG,1,3.074037975217261,2,original,TRUE,3.7811971429911417,3,updated,3.074037975217261,3.7811971429911417,0.7071591677738809,1,shared
IL27@Condition:HuH-7@E-MTAB-4570.MicroArray.HTA-2_0,IL27,1,5.010593070934125,2,original,TRUE,NA,NA,updated,5.010593070934125,NA,NA,NA,original_only
IL6@Condition:HuH-7@E-MTAB-4570.MicroArray.HTA-2_0,IL6,1,-0.6938571694086708,2,original,TRUE,4.8991286679365125,3,updated,-0.6938571694086708,4.8991286679365125,5.592985837345183,1,shared
OSM@Condition:HuH-7@E-MTAB-4570.MicroArray.HTA-2_0,OSM,1,-4.351182546034914,2,original,TRUE,6.589523095750833,3,updated,-4.351182546034914,6.589523095750833,10.940705641785748,1,shared
EGF&Dose:20ng/ml@Condition:MCF10A@E-MTAB-5370.RNASeq.ERP020890_GRCh38,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNG@Condition:AML.PLB-985@E-MTAB-5690.MicroArray.HuGene-2_0-st,IFNG,1,2.9285310250311007,2,original,TRUE,2.87963351114361,3,updated,2.9285310250311007,2.87963351114361,-0.04889751388749053,1,shared
IFNG&Dose:100 nM_Duration:1d@Condition:THP-1@E-MTAB-5917.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IL4&Dose:100 nM_Duration:2d@Condition:THP-1@E-MTAB-5917.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
WNT3A@Condition:HeLa-MZ&Duration:2h@E-MTAB-6623.RNASeq.ERP107744_GRCh38,WNT3A,1,1.7541230664450622,3,original,TRUE,3.3348721598504154,3,updated,1.7541230664450622,3.3348721598504154,1.5807490934053532,0,shared
WNT3A@Condition:HeLa-MZ&Duration:6h@E-MTAB-6623.RNASeq.ERP107744_GRCh38,WNT3A,1,1.5158857811876676,3,original,TRUE,3.4142159408244095,3,updated,1.5158857811876676,3.4142159408244095,1.898330159636742,0,shared
TNFA&Dose:10 ng/ml@Condition:Human_MM6_and_HCAEC&Duration:4h@E-MTAB-6721.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
BDNF@Condition:embryonic stem cell&Duration:0.5h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,1,1.8876882640439765,3,original,TRUE,0.29246726161895076,3,updated,1.8876882640439765,0.29246726161895076,-1.5952210024250257,0,shared
NTF4@Condition:embryonic stem cell&Duration:0.5h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,NTF4,1,0.8289568808667419,2,original,TRUE,0.7689769087499283,2,updated,0.8289568808667419,0.7689769087499283,-0.05997997211681361,0,shared
BDNF@Condition:embryonic stem cell&Duration:12.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,1,-0.7013171768823169,3,original,TRUE,-1.2754483216407273,3,updated,-0.7013171768823169,-1.2754483216407273,-0.5741311447584104,0,shared
NTF4@Condition:embryonic stem cell&Duration:12.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,NTF4,1,-0.447325028474791,2,original,TRUE,-0.42609497397408186,2,updated,-0.447325028474791,-0.42609497397408186,0.02123005450070914,0,shared
BDNF@Condition:embryonic stem cell&Duration:2.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,1,-0.33774385697738596,3,original,TRUE,-0.9263196855044074,3,updated,-0.33774385697738596,-0.9263196855044074,-0.5885758285270214,0,shared
NTF4@Condition:embryonic stem cell&Duration:2.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,NTF4,1,-0.628141269930237,2,original,TRUE,-0.609816489884112,2,updated,-0.628141269930237,-0.609816489884112,0.018324780046125033,0,shared
BDNF@Condition:embryonic stem cell&Duration:24.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,1,-0.3376038978362756,3,original,TRUE,-1.1504872683322362,3,updated,-0.3376038978362756,-1.1504872683322362,-0.8128833704959606,0,shared
NTF4@Condition:embryonic stem cell&Duration:24.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,NTF4,1,-0.4871698670254788,2,original,TRUE,-0.4721014559699552,2,updated,-0.4871698670254788,-0.4721014559699552,0.015068411055523645,0,shared
TNFA&Dose:100 pg/ml@Condition:HCAEC_3D culture&Duration:16h@E-MTAB-7555.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:1000 pg/ml@Condition:HCAEC_3D culture&Duration:16h@E-MTAB-7555.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:10000 pg/ml@Condition:HCAEC_3D culture&Duration:16h@E-MTAB-7555.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:50 pg/ml@Condition:HCAEC_3D culture&Duration:16h@E-MTAB-7555.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:500 pg/ml@Condition:HCAEC_3D culture&Duration:16h@E-MTAB-7555.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:100 pg/ml@Condition:HCAEC_3D culture&Duration:4h@E-MTAB-7555.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:1000 pg/ml@Condition:HCAEC_3D culture&Duration:4h@E-MTAB-7555.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:10000 pg/ml@Condition:HCAEC_3D culture&Duration:4h@E-MTAB-7555.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:50 pg/ml@Condition:HCAEC_3D culture&Duration:4h@E-MTAB-7555.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:500 pg/ml@Condition:HCAEC_3D culture&Duration:4h@E-MTAB-7555.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IL1B&Dose:20 ng/ml@Condition:epithelium of bronchus&Duration:4h@E-MTAB-7992.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IL1B&Dose:40 ng/ml@Condition:epithelium of bronchus&Duration:4h@E-MTAB-7992.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:20 ng/ml@Condition:epithelium of bronchus&Duration:4h@E-MTAB-7992.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:40 ng/ml@Condition:epithelium of bronchus&Duration:4h@E-MTAB-7992.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
WNT3A@Condition:fibroblast&Duration:24h@E-MTAB-837.MicroArray.ChipsterNormalized_Replicate1+2_24h,WNT3A,1,0.9052804298488695,3,original,TRUE,2.375113753339616,3,updated,0.9052804298488695,2.375113753339616,1.4698333234907464,0,shared
WNT3A@Condition:fibroblast&Duration:8h@E-MTAB-837.MicroArray.ChipsterNormalized_Replicate1+2_8h,WNT3A,1,0.7285769883084575,3,original,TRUE,2.0455171980243585,3,updated,0.7285769883084575,2.0455171980243585,1.3169402097159009,0,shared
TNFA&Dose:5 pg/ml@Condition:HUVEC+RBC@E-SGRP-3.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TGFB1&Dose:100 pM_Duration:2h@Condition:HaCaT@E-TABM-420.MicroArray.E-TABM-420-processed-data-1627283100,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
